internship_title,company_name,location,start_date,duration,stipend
Sales,Reliance Brands Limited,Chandigarh,Immediately,6 Months,"₹ 14,000 /month"
UX Design,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month"
HR Consultant,Paracoat Products Limited,Gurgaon,Immediately,6 Months,"₹ 15,000 /month"
Law/Legal,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month"
L&D,Godrej And Boyce Manufacturing Company Limited,Mumbai,Immediately,6 Months,"₹ 4,000 /month"
Human Resources (HR),Trent Hypermarket Private Limited - STAR Bazaar,Mumbai,Immediately,6 Months,"₹ 7,000-10,000 /month"
Search Engine Optimization (SEO),CollegeDunia Web Private Limited,Work From Home,Immediately,6 Months,"₹ 15,000-20,000 /month"
Human Resources (HR),International SOS,Mumbai,Immediately,6 Months,"₹ 15,000 /month"
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,Immediately,6 Months,"₹ 25,000 /month"
Marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6 Months,"₹ 7,000-12,000 /month"
HR - Talent Acquisition,Niva Bupa Health Insurance,Noida,Immediately,6 Months,"₹ 10,000 /month"
Campus Ambassador,Across The Globe (ATG),Work From Home,Immediately,6 Months,Performance Based
Customer Support,NoBroker Technologies Solution Private Limited,Bangalore,Immediately,6 Months,"₹ 12,000 /month"
Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month"
Sales,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-2,500 /month"
Marketing,Vedantu Innovations,Tiruchirappalli,Immediately,3 Months,"₹ 20,000 /month"
Generative Adversarial Networks,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 8,000-12,000 /month"
Node.js Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives"
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-8,000 /month"
Web Development (Frontend),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-7,500 /month"
Sales,NoBroker Technologies Solutions Private Limited,Hyderabad,Immediately,3 Months,"₹ 15,000 /month"
Technical Content Writing,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives"
MERN Stack Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 4,000-10,000 /month"
ReactJs Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-5,000 /month"
Python Django Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives"
Python Automation,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives"
HR & Admin,Modenik Lifestyle Private Limited,Bangalore,Immediately,3 Months,"₹ 8,000 /month"
Resource Management,Techolution,Hyderabad,Immediately,3 Months,"₹ 15,000 /month"
Project Management,IIT Bombay,Work From Home,Immediately,3 Months,"₹ 1,000-2,000 /month"
Business Development,Ozzone Group,Work From Home,Immediately,3 Months,"₹ 10,000 /month"
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Ahmedabad,Immediately,3 Months,"₹ 15,000 /month"
Sales Promotion,IndiaFirst Life Private Limited,Mumbai,Immediately,3 Months,"₹ 25,000 /month"
UI Design,Pepperfry,Mumbai,Immediately,3 Months,"₹ 20,000-25,000 /month"
Project Management (Marketing),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-7,000 /month"
Finance & Accounting,MetrixLab,Hyderabad,Immediately,3 Months,"₹ 18,000 /month"
Customer Relationship,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,3 Months,"₹ 12,000 /month"
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3 Months,"₹ 15,000 /month"
Communication & Project Management,Teach For India,Hyderabad,Immediately,3 Months,"₹ 4,000 /month"
Logistics And Operations,Delhivery,Mumbai,Immediately,3 Months,"₹ 8,000 /month"
Event Management,Times Internet,Noida,Immediately,3 Months,"₹ 10,000 /month"
Content Writing,LeadSquared,Bangalore,Immediately,3 Months,"₹ 20,000 /month"
Environment Education Program (Mumbai),WWF-India,Mumbai,Immediately,3 Months,"₹ 10,000 /month"
Business Development (Sales),Anarock Property Consultant Private Limited,Bangalore,Immediately,3 Months,"₹ 20,000 /month"
Human Resources (HR),Zee Media Corporation Limited,Noida,Immediately,3 Months,"₹ 2,000 /month"
Finance,CaratLane Trading Private Limited,Chennai,Immediately,3 Months,"₹ 15,000 /month"
Customer Service,Ferns N Petals,Gurgaon,Not specified,3 Months,"₹ 15,000 /month"
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Work From Home,Immediately,3 Months,"₹ 15,000 /month"
Human Resources (HR),Agarwal Packers & Movers Limited,Delhi,Immediately,3 Months,"₹ 10,000 /month"
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,Immediately,3 Months,"₹ 15,000 /month"
Sales,NoBroker Technologies Solutions Private Limited,Vadodara,Immediately,3 Months,"₹ 12,000 /month"
Human Resources (HR),MAHANADI SPICES,Bilaspur,Immediately,3 Months,"₹ 20,000 /month"
Fundraising,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid
Recruitment,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid
Human Resources (HR),Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid
Talent Acquisition,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid
"New Client Aquisition, Key Accounts Management",Pepperfry Limited,Panvel,Immediately,1 Week,"₹ 8,000 /month +  Incentives"
Talent Acquisition,Scaler Academy,Work From Home,Immediately,1 Week,"₹ 5,000-8,000 /month"
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,Immediately,1 Week,"₹ 15,000 /month"
Business Development Management,Across The Globe (ATG),Work From Home,Immediately,1 Week,"₹ 1,000-1,500 /month"
Data Entry With Marketing,Across The Globe (ATG),Work From Home,Immediately,1 Week,"₹ 1,000-1,500 /month"
Social Work,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid
Human Resources (HR),Jiva Ayurveda,Faridabad,Immediately,1 Week,"₹ 5,000 /month"
Campus Ambassador,IIT Roorkee,Work From Home,Immediately,1 Week,Performance Based
Content Writing,Xiaomi Technology India Private Limited,Bangalore,Immediately,1 Week,"₹ 20,000 /month"
Operations,NoBroker Technologies Solutions Private Limited,Noida,Immediately,1 Week,"₹ 15,000 /month"
Resource Management,Techolution,Hyderabad,Immediately,1 Week,"₹ 15,000 /month"
Human Resources (HR),Zucol Group Of Companies,Jaipur,Immediately,1 Week,"₹ 7,000-10,000 /month"
HR Operations,Freecharge Payments Technology Private Limited,Gurgaon,Immediately,1 Week,"₹ 15,000 /month"
Guest Relation Operations,Apollo Hospitals,Navi Mumbai,Immediately,1 Week,"₹ 5,000 /month"
Business Development (Sales),Decathlon Sport India,Ahmedabad,Immediately,1 Week,"₹ 10,000 /month"
Event Coordination,Aam Aadmi Party,Delhi,Immediately,1 Week,Unpaid
Graphic Design,Educate Girls,Mumbai,Immediately,1 Week,"₹ 12,000-15,000 /month"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid
Induction Representation,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid
Business Development (Sales),Urban Company,Bhubaneswar,Immediately,1 Week,"₹ 20,000 /month"
Human Resources (HR),Community Action Through Motivation Program,Naya Raipur,Immediately,1 Week,"₹ 3,000 /month"
Field Sales,LIC,Ahmedabad,Immediately,1 Week,"₹ 5,000 /month +  Incentives"
Business Development (Sales),Decathlon Sports India,Ahmedabad,Immediately,1 Week,"₹ 5,000-10,000 /month"
City Management,Urban Company,Mumbai,Immediately,1 Week,"₹ 20,000-25,000 /month"
Social Media Management,Life Fitness,Work From Home,Immediately,1 Week,"₹ 1,000 /month"
Human Resources (HR),Paradise Food Court Private Limited,Hyderabad,Immediately,1 Week,"₹ 5,000 /month"
Video Editor,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid
Human Resources (HR),APAC Financial Services Private Limited,Mumbai,Immediately,1 Week,"₹ 8,000-10,000 /month"
Social Media Marketing,Sportskeeda,Work From Home,Immediately,1 Week,"₹ 10,000 /month"
Omni Sports Leader,Decathlon,Thane,Immediately,1 Week,"₹ 10,000 /month"
Graphic Design,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Week,"₹ 10,000 /month"
Business Development (Sales),Urban Company,Bangalore,Immediately,1 Week,"₹ 18,000-25,000 /month"
Graphic Design,Saregama India Limited,Chennai,Immediately,1 Week,"₹ 5,000-10,000 /month"
Android App Development,Star Health & Allied Insurance Company Limited,Vrindavan,Immediately,1 Week,"₹ 5,000 /month"
Talent Acquisition,Techolution,Work From Home,Immediately,1 Week,"₹ 15,000 /month"
Telecalling,Air India SATS Airport Services Private Limited,Delhi,Immediately,1 Week,"₹ 7,000-15,000 /month"
Business Development (Sales),Urban Company,Mumbai,Immediately,1 Week,"₹ 20,000-25,000 /month"
Operations,PcsInfinity,Delhi,Immediately,3 Months,"₹ 10,000 lump sum"
Company Secretary (CS),Justdial,Mumbai,Immediately,1 Week,"₹ 12,000 /month"
Human Resources (HR),Media.net,Bangalore,Immediately,1 Week,"₹ 15,000 /month"
Content Writing,OfBusiness,Gurgaon,Immediately,4 Months,"₹ 20,000 /month"
Talent Acquisition,Ozone Overseas Private Limited,Gurgaon,Immediately,4 Months,"₹ 15,000 /month"
Webinar Operations & Strategy,Simplilearn Solutions Private Limited,Bangalore,Immediately,4 Months,"₹ 15,000 /month"
Business Development (Sales),Pioneer E Solutions,Gurgaon,Immediately,4 Months,"₹ 15,000 /month"
Social Media Manager,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid
Journalism,Press Trust Of India,Delhi,Immediately,4 Months,"₹ 20,000 /month"
Business Operations,Pristyn Care,Gurgaon,Immediately,4 Months,"₹ 8,000 /month"
Online Reputation Management,Motilal Oswal Financial Services Limited,Mumbai,Immediately,4 Months,"₹ 5,000 /month"
Strategy and Research,Vedantu,Bangalore,Immediately,4 Months,"₹ 25,000-35,000 /month"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid
HR,AU Small Finance Bank,Mumbai,Immediately,4 Months,"₹ 2,000 /month"
Business Development,CollegeDunia Web Private Limited,Gurgaon,Immediately,4 Months,"₹ 10,000 /month"
Web Maintenance,Tata Motors,Mumbai,Immediately,4 Months,"₹ 8,000 /month"
User Research,Leverage Edu,Noida,Immediately,4 Months,"₹ 10,000 /month"
Nutraceuticals-Project,Akums Drugs & Pharmaceuticals Limited,Delhi,Immediately,4 Months,"₹ 12,000 /month"
Finance & Accounting,Ieng Groups,Bangalore,Immediately,4 Months,"₹ 5,000 /month"
Sales Administration,Fresenius Kabi,Pune,Immediately,4 Months,"₹ 20,000 /month"
Marketing And Communications,Zee Entertainment Enterprises Limited,Mumbai,Immediately,4 Months,"₹ 5,000-7,000 /month"
Business Development (Sales),Urban Company,Patna,Immediately,4 Months,"₹ 20,000 /month"
Human Resources (HR),SILA Group,Bangalore,Immediately,4 Months,"₹ 8,000 /month"
Program Operations,Bharti Foundation,Gurgaon,Immediately,4 Months,"₹ 17,500 /month"
Volunteering,International Human Rights Protection Commission,Andhra Pradesh,Immediately,4 Months,Unpaid
Social Entrepreneurship,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid
HR,Gupshup Technology,Mumbai,Immediately,4 Months,"₹ 10,000 /month"
Graphic Design,Bajaj Finance Limited,Pune,Immediately,4 Months,"₹ 5,000-15,000 /month"
Graphic And Content,Hero Vired,Delhi,Immediately,4 Months,"₹ 20,000 /month"
DEI Consulting,Godrej Agrovet Limited,Mumbai,Immediately,4 Months,"₹ 10,000-15,000 /month"
Fundraising,WWF India,Delhi,Immediately,4 Months,"₹ 18,000 /month"
Angular UI Development & UI Design,IIT Bombay,Work From Home,Immediately,4 Months,"₹ 1,000-2,000 /month"
Teaching GPAT And Pharmacy Exams,Unacademy,Work From Home,Immediately,4 Months,"₹ 20,000 /month"
Business Operations And Research,Benesse India,Delhi,Immediately,4 Months,"₹ 25,000 /month"
Business Development & Brand Solution,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,4 Months,"₹ 5,000 /month"
Supply Chain & Logistics Operations,Inland World Logistics Private Limited,Coimbatore,Immediately,4 Months,"₹ 10,000 /month"
Content Writing,HT Media,Mumbai,Immediately,4 Months,"₹ 3,500-5,000 /month"
Motion Design,NoBroker,Bangalore,Immediately,4 Months,"₹ 12,000 /month"
Sales Trainee,Pioneer E-Solutions,Gurgaon,Immediately,4 Months,"₹ 10,000 /month"
Retail Management,Decathlon Sports India,Patna,Immediately,4 Months,"₹ 7,000 /month"
Operation Analyst,Apollo247,Gurgaon,Immediately,4 Months,"₹ 15,000 /month"
Omni Sports Leadership,Decathlon Sport India Private Limited,Ludhiana,Immediately,4 Months,"₹ 10,000 /month"
HR Operations,UpGrad (U Education Management Private Limited),Gurgaon,Immediately,4 Months,"₹ 10,000 /month"
Human Resources (HR),Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month"
Omni Sports Leading,Decathlon Sport India Private Limited,Mumbai,Immediately,6 Months,"₹ 13,000 /month"
IT Coordination,Vaibhav Global Limited,Jaipur,Immediately,6 Months,"₹ 10,000 /month"
Admin,Worldwide Media (Times Group),Mumbai,Immediately,6 Months,"₹ 5,000 /month"
Graphic Design,Priyanka Singh,Jaipur,Immediately,6 Months,"₹ 5,000 /month +  Incentives"
Software Development – Vāgyojaka Tool,IIT Bombay,Work From Home,Immediately,6 Months,"₹ 3,000-5,000 /month"
Product Management,Tynor Orthotics Private Limited,Mohali,Immediately,6 Months,"₹ 7,500 /month"
Omni Sport Leader,Decathlon Sports India,Pimpri-Chinchwad,Immediately,6 Months,"₹ 10,000 /month"
Business Development (Sales),UpGrad (UpGrad Education Private Limited),Nagpur,Immediately,6 Months,"₹ 2,500-9,500 /month"
Graphic Design,Futurionic Private Limited,Work From Home,Immediately,6 Months,"₹ 5,000 /month"
Business Development (Sales),Cultfit Healthcare Private Limited,Bangalore,Immediately,6 Months,"₹ 20,000 /month"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid
Youtube Management,Unacademy,Bangalore,Immediately,6 Months,"₹ 15,000 /month"
Marketing,Absolute Barbecue Private Limited,Hyderabad,Immediately,6 Months,"₹ 6,000 /month"
Event Management,Office Of Advisor To CM,Delhi,Immediately,6 Months,Unpaid
Customer Service,Kalpataru Limited,Mumbai,Immediately,6 Months,"₹ 10,000 /month"
Marketing,Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month"
Public Relations,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 1,500 /month"
Talent Acquisition,MRCC Solutions,Thane,Immediately,6 Months,"₹ 10,000 /month"
Human Resources (HR),Zucol Group Of Companies,Indore,Immediately,6 Months,"₹ 5,000 /month"
Sales (Real Estate),Anarock Property Consultant Private Limited,Pune,Immediately,6 Months,"₹ 10,000 /month"
Customer Experience,Snapdeal,Gurgaon,Immediately,6 Months,"₹ 10,000 /month"
Insurance Consulting,Bajaj Allianz Life Insurance Company Limited,Work From Home,Immediately,6 Months,"₹ 12,000 /month +  Incentives"
Resource Management,Techolution,Hyderabad,Immediately,6 Months,"₹ 15,000 /month"
Curriculum Development,Educate Girls,Mumbai,Immediately,6 Months,"₹ 15,000-17,000 /month"
Digital Marketing,Audi Mumbai West,Mumbai,Immediately,6 Months,"₹ 15,000 /month"
Social Work,INDIA Redefined,Work From Home,Immediately,6 Months,Unpaid
